; Map Names
mapname-aqueduct01     	=Bardvig Aqueduct
mapname-aqueduct01-desc	=This old construction conveys pure spring water from {mapname-Forest02} to {mapname-City01}. Many {kawa} merchants cross here, making it a popular ambush point for bandits.

mapname-arena01			=The Arena

mapname-beach01     	=Strangled Cove
mapname-beach01-desc	=These dangerous shores are littered with countless shipwrecks. Their tainted cargo has leached into the bay, rendering the water toxic.

mapname-Cabin01     	={necro}'s Cabin

mapname-canyon01     	=The Resting Giants
mapname-canyon01-desc	=These ancient hills are where old beasts go for their final days. Poachers often roam the area.

mapname-canyon02     	=Iirzk'tara Gorge
mapname-canyon02-desc	=These long-abandoned mining tunnels are now home to troglodytic giants.

mapname-cave01       	=Occul Cavern
mapname-cave02       	=Occul Riverbed

mapname-cave03     		=Decaying Depths
mapname-cave03-desc		=The foul wind whistling through these tunnels sounds like a dying moan. It hints at the unfathomable depths still to come.

mapname-cave04     		=Fetid Depths
mapname-cave04-desc		=The caverns are becoming warmer as they descend deeper into the earth, smelling now of sulfur in addition to the ubiquitous rot.

mapname-cave05     		=Infernal Depths
mapname-cave05-desc		=These blisteringly hot tunnels wind through the heart of the earth. How much deeper could the {Ancient-Path} go?

mapname-cave06     		=The Gauntlet
mapname-cave06-desc		=An eerie light comes from ahead, foretelling that the end of the {Ancient-Path} is within reach. But before that, one more ordeal awaits.

mapname-City01     		=Gelligh
mapname-City01-desc		=The industrial {mapname-City01} is often plagued by thieves and scoundrels.
mapname-City03			={mapname-City01}

mapname-City02     	={mapname-town2}
mapname-coastal01   =Fenfjord
mapname-coastal02   =Port Grendel
mapname-Council01   ={Immortal-Council} Chambers

mapname-Crossroads01     	=The Crossroads
mapname-Crossroads01-desc	=There used to be travelers sojourning in the area, but frequent marauder attacks have taken their toll on the busy road.

mapname-crossroads02     	=Gyaum Tor
mapname-Crossroads02-desc	=Many travelers pass through these roads, which makes them a prime target for more brazen thieves.

mapname-Desert01     		=Zzakander Spires
mapname-Desert01-desc		=These desert towers are architectural wonders of the world, yet they only hint at the vast network of {bzil} tunnel dwellings beneath the ground.

mapname-Desert02     		=Caravan Trail
mapname-Desert02-desc		=Dotted with ancient ruins, this trail is nowadays only home to the hardiest of desert creatures.

mapname-Forest01     		=Banyan Span
mapname-Forest01-desc		=This living bridge was woven together from tree roots over a period of decades. It connects the once-isolated {mapname-town2} to the mainland.

mapname-Forest02     		=Kapawka Jungle
mapname-Forest02-desc		=A dense, dark, and dangerous tangle of trees that barely allows any sunlight through. While inhospitable to {humans}, {kawas} are right at home here.

mapname-Forest03     		=Alpine Woods
mapname-Forest03-desc		=Poachers, bandits, and wild beasts all claim this territory as their own.

mapname-Forest04     		=Timber Road
mapname-Forest04-desc		=Danger sometimes lurks in these otherwise quiet woods, in the form of wild beasts and nature worshipers.

mapname-Forest05     		=Claret Woods
mapname-Forest05-desc		=It is said that these old woods hide a magical pathway used by a long-dead civilization.

mapname-Gate01       		={map-immortalcity}
mapname-Grandhall01			=Cataracta Citadel

mapname-Graveyard01     	=Restful Stones
mapname-Graveyard01-desc	=This secluded graveyard is not as restful as it seems; necromantic energies permeate the earth, corrupting the dead that lie here.

mapname-highlands01     	=The Highlands
mapname-highlands01-desc	=This area sees very few travelers pass through and should thus be free from banditry... but some rogues consider that a golden opportunity.

mapname-highlands02			=Lodestarhenge
