; Materials
mat-mythril		=teorite
mat-mythril-cap	=Teorite
mat-steel		=steel
mat-steel-cap	=Steel
mat-silver		=silver
mat-silver-cap	=Silver
mat-gold		=gold
mat-gold-cap	=Gold
mat-golden		=golden
mat-golden-cap  =Golden
mat-ebony		=ebony
mat-ebony-cap	=Ebony
mat-leather		=leather
mat-leather-cap =Leather
mat-bronze		=bronze
mat-bronze-cap	=Bronze

; **********************
; Weapons
; **********************
; Swords
wp-sword-00			=Shortsword
wp-sword-00-desc	=A soldier's truest friend.

wp-sword-01			=Longsword
wp-sword-01-desc	=A blade for a valorous knight.

wp-sword-02			={mat-silver-cap} Sword
wp-sword-02-desc	=A ceremonial sword blessed by a venerable priest.

wp-sword-03			=Toothed Sword
wp-sword-03-desc	=A gruesome weapon capable of inflicting horrific wounds.

wp-sword-04			={mat-mythril-cap} Sword
wp-sword-04-desc	=Forged from the purest {mat-mythril}, sharp enough to slice spells apart.

wp-sword-05			=Icebrand
wp-sword-05-desc	=A blade quenched in the coldest currents of the ocean.

wp-sword-06			=Flamebrand
wp-sword-06-desc	=A sword forged in the heat of a volcano.

wp-sword-07			=Stonebrand
wp-sword-07-desc	=A sword honed on the hardest of diamonds.

wp-sword-08			=Boltbrand
wp-sword-08-desc	=A lightning bolt hammered into the shape of a sword.

wp-sword-09			=Enhancer
wp-sword-09-desc	=An oversized athame to help focus magical powers.

wp-sword-10			={mat-ebony-cap} Sword
wp-sword-10-desc	=A sword as black as night to tame the darkness.

wp-sword-11			=Guardian Sword
wp-sword-11-desc	=A weapon covered in protective runes.

wp-sword-12			=Dendrite Sword
wp-sword-12-desc	=A crystalline blade that dissipates holy magic.

wp-sword-13			=Singing Sword
wp-sword-13-desc	=Its eerie whistling keeps its user awake at night.

wp-sword-14			=Excalibur
wp-sword-14-desc	=The holiest of swords will heal all wounds over time.

wp-sword-15			=Eternias
wp-sword-15-desc	=The strongest, deadliest of all swords.

wp-sword-16			=Soul Eater
wp-sword-16-desc	=A diabolical weapon that feeds its wielder's lust for power.


; *****************
; Dagger
wp-dagger-00		=Dagger
wp-dagger-00-desc	=A utilitarian knife for cooking, crafting, and the occasional killing.

wp-dagger-01		=Hidden Knife
wp-dagger-01-desc	=An assassin's last resort.

wp-dagger-02		=Dirk
wp-dagger-02-desc	=A duelist's poniard, ideal for targeting vulnerable spots.

wp-dagger-07		=Kunai
wp-dagger-07-desc	=An exotic knife able to cripple almost any opponent.

wp-dagger-04		=Tongueslicer
wp-dagger-04-desc	=A torturer's blade, meant to cut someone's screams short.

wp-dagger-05		={mat-mythril-cap} Dagger
